Time;Step;File;Log;Visa;Plate
20170317_15:46:56;test_ink;gcode/20170317_15:46:56test_ink.gcode;gcode/20170317_15:46:56test_ink.gcode;;test
20170317_15:46:56;test_ink;gcode/20170317_15:46:56test_ink.gcode;gcode/20170317_15:46:56test_ink.gcode;;test
20170317_15:47:02;test_ink;gcode/20170317_15:47:02test_ink.gcode;gcode/20170317_15:47:02test_ink.gcode;;test
20170317_15:47:12;test_ink;gcode/20170317_15:47:12test_ink.gcode;gcode/20170317_15:47:12test_ink.gcode;;test
20170317_15:47:13;test_ink;gcode/20170317_15:47:13test_ink.gcode;gcode/20170317_15:47:13test_ink.gcode;;test
20170317_15:47:35;test_ink;gcode/20170317_15:47:35test_ink.gcode;gcode/20170317_15:47:35test_ink.gcode;;test
20170317_15:47:36;test_ink;gcode/20170317_15:47:36test_ink.gcode;gcode/20170317_15:47:36test_ink.gcode;;test
20170317_15:47:37;test_ink;gcode/20170317_15:47:37test_ink.gcode;gcode/20170317_15:47:37test_ink.gcode;;test
20170317_15:47:37;test_ink;gcode/20170317_15:47:37test_ink.gcode;gcode/20170317_15:47:37test_ink.gcode;;test
20170317_15:47:41;test_ink;gcode/20170317_15:47:41test_ink.gcode;gcode/20170317_15:47:41test_ink.gcode;;test
20170317_15:47:42;test_ink;gcode/20170317_15:47:42test_ink.gcode;gcode/20170317_15:47:42test_ink.gcode;;test
20170317_15:47:43;test_ink;gcode/20170317_15:47:43test_ink.gcode;gcode/20170317_15:47:43test_ink.gcode;;test
20170317_15:47:43;test_ink;gcode/20170317_15:47:43test_ink.gcode;gcode/20170317_15:47:43test_ink.gcode;;test
20170317_15:47:44;test_ink;gcode/20170317_15:47:44test_ink.gcode;gcode/20170317_15:47:44test_ink.gcode;;test
20170317_15:47:44;test_ink;gcode/20170317_15:47:44test_ink.gcode;gcode/20170317_15:47:44test_ink.gcode;;test
20170317_15:47:45;test_ink;gcode/20170317_15:47:45test_ink.gcode;gcode/20170317_15:47:45test_ink.gcode;;test
20170317_15:47:48;test_ink;gcode/20170317_15:47:48test_ink.gcode;gcode/20170317_15:47:48test_ink.gcode;;test
20170317_15:47:49;test_ink;gcode/20170317_15:47:49test_ink.gcode;gcode/20170317_15:47:49test_ink.gcode;;test
20170317_15:47:51;test_ink;gcode/20170317_15:47:51test_ink.gcode;gcode/20170317_15:47:51test_ink.gcode;;test
20170317_15:47:52;test_ink;gcode/20170317_15:47:52test_ink.gcode;gcode/20170317_15:47:52test_ink.gcode;;test
20170317_15:47:57;test_ink;gcode/20170317_15:47:57test_ink.gcode;gcode/20170317_15:47:57test_ink.gcode;;test
20170317_15:47:58;test_ink;gcode/20170317_15:47:58test_ink.gcode;gcode/20170317_15:47:58test_ink.gcode;;test
20170317_15:47:59;test_ink;gcode/20170317_15:47:59test_ink.gcode;gcode/20170317_15:47:59test_ink.gcode;;test
20170317_15:48:01;test_ink;gcode/20170317_15:48:01test_ink.gcode;gcode/20170317_15:48:01test_ink.gcode;;test
20170317_15:48:23;test_ink;gcode/20170317_15:48:23test_ink.gcode;gcode/20170317_15:48:23test_ink.gcode;;test
20170317_15:51:25;Connection;NA;Board connection;;test
20170317_16:25:32;Connection;NA;Board disconnection;;test
20170317_16:31:29;Connection;NA;Board connection;;test
20170317_16:33:52;Connection;NA;Board disconnection;;test
20170320_08:45:48;Connection;NA;Board connection;;test
20170320_08:46:26;Connection;NA;Board disconnection;;test
20170320_08:49:34;Connection;NA;Board connection;;test
20170320_09:35:16;Connection;NA;Board disconnection;;test
20170320_10:00:30;Connection;NA;Board connection;;test
20170320_10:06:10;Deriv;gcode/20170320_10:06:10Method.gcode;gcode/20170320_10:06:10Method.gcode;;test
20170320_10:19:43;Connection;NA;Board disconnection;;test
20170320_10:19:49;Connection;NA;Board connection;;test
20170320_10:41:25;Deriv;gcode/20170320_10:41:25Method.gcode;gcode/20170320_10:41:25Method.gcode;;test
20170320_10:42:07;Deriv;Emergency stop; LOG;;test
20170320_10:42:15;Deriv;gcode/20170320_10:42:15Method.gcode;gcode/20170320_10:42:15Method.gcode;;test
20170320_10:42:28;Deriv;Emergency stop; LOG;;test
20170320_10:42:32;Deriv;gcode/20170320_10:42:32Method.gcode;gcode/20170320_10:42:32Method.gcode;;test
20170320_10:45:23;Deriv;gcode/20170320_10:45:23Method.gcode;gcode/20170320_10:45:23Method.gcode;;test
20170320_10:45:25;Deriv;Emergency stop; LOG;;test
20170320_10:46:24;Deriv;gcode/20170320_10:46:24Method.gcode;gcode/20170320_10:46:24Method.gcode;;test
20170320_10:50:37;Deriv;gcode/20170320_10:50:37Method.gcode;gcode/20170320_10:50:37Method.gcode;;test
20170320_10:50:39;Deriv;Emergency stop; LOG;;test
20170320_10:50:40;Deriv;gcode/20170320_10:50:40Method.gcode;gcode/20170320_10:50:40Method.gcode;;test
20170320_10:54:23;Deriv;Emergency stop; LOG;;test
20170320_10:54:26;Deriv;gcode/20170320_10:54:26Method.gcode;gcode/20170320_10:54:26Method.gcode;;test
20170320_10:55:09;Deriv;Emergency stop; LOG;;test
20170320_10:55:16;test_ink;gcode/20170320_10:55:16test_ink.gcode;gcode/20170320_10:55:16test_ink.gcode;;test
20170320_10:55:16;test_ink;gcode/20170320_10:55:16test_ink.gcode;gcode/20170320_10:55:16test_ink.gcode;;test
20170320_10:55:17;test_ink;gcode/20170320_10:55:17test_ink.gcode;gcode/20170320_10:55:17test_ink.gcode;;test
20170320_10:55:17;test_ink;gcode/20170320_10:55:17test_ink.gcode;gcode/20170320_10:55:17test_ink.gcode;;test
20170320_10:55:18;test_ink;gcode/20170320_10:55:18test_ink.gcode;gcode/20170320_10:55:18test_ink.gcode;;test
20170320_10:55:18;test_ink;gcode/20170320_10:55:18test_ink.gcode;gcode/20170320_10:55:18test_ink.gcode;;test
20170320_10:55:37;Deriv;gcode/20170320_10:55:37Method.gcode;gcode/20170320_10:55:37Method.gcode;;test
20170320_10:56:54;Deriv;Emergency stop; LOG;;test
20170320_10:57:58;Deriv;gcode/20170320_10:57:58Method.gcode;gcode/20170320_10:57:58Method.gcode;;test
20170320_11:02:58;Deriv;Emergency stop; LOG;;test
20170320_11:03:23;Deriv;gcode/20170320_11:03:23Method.gcode;gcode/20170320_11:03:23Method.gcode;;test
20170320_11:05:00;Deriv;Emergency stop; LOG;;test
20170320_11:05:05;Deriv;gcode/20170320_11:05:05Method.gcode;gcode/20170320_11:05:05Method.gcode;;test
20170320_11:05:06;Deriv;Emergency stop; LOG;;test
20170320_11:05:20;Deriv;gcode/20170320_11:05:20Method.gcode;gcode/20170320_11:05:20Method.gcode;;test
20170320_11:06:48;Deriv;gcode/20170320_11:06:48Method.gcode;gcode/20170320_11:06:48Method.gcode;;test
20170320_11:06:50;Deriv;Emergency stop; LOG;;test
20170320_11:06:51;Deriv;gcode/20170320_11:06:51Method.gcode;gcode/20170320_11:06:51Method.gcode;;test
20170320_11:07:23;Deriv;Emergency stop; LOG;;test
20170320_11:10:55;Deriv;gcode/20170320_11:10:55Method.gcode;gcode/20170320_11:10:55Method.gcode;;test
20170320_11:12:06;Deriv;Emergency stop; LOG;;test
20170320_11:15:31;Connection;NA;Board disconnection;;test
20170320_11:16:39;Connection;NA;Board connection;;test
20170320_11:23:51;Connection;NA;Board disconnection;;test
20170321_09:44:30;Connection;NA;Board connection;;test
20170321_09:58:50;Connection;NA;Board disconnection;;test
20170321_09:59:50;Connection;NA;Board connection;;test
20170321_10:34:44;Connection;NA;Board disconnection;;test
20170321_10:48:11;Connection;NA;Board connection;;test
20170321_10:48:48;Connection;NA;Board disconnection;;test
20170321_10:52:06;Connection;NA;Board connection;;test
20170321_11:42:10;test_ink;gcode/20170321_11:42:10test_ink.gcode;gcode/20170321_11:42:10test_ink.gcode;;test
20170321_11:42:11;test_ink;gcode/20170321_11:42:11test_ink.gcode;gcode/20170321_11:42:11test_ink.gcode;;test
20170321_11:42:12;test_ink;gcode/20170321_11:42:12test_ink.gcode;gcode/20170321_11:42:12test_ink.gcode;;test
20170321_11:42:13;test_ink;gcode/20170321_11:42:13test_ink.gcode;gcode/20170321_11:42:13test_ink.gcode;;test
20170321_11:42:13;test_ink;gcode/20170321_11:42:13test_ink.gcode;gcode/20170321_11:42:13test_ink.gcode;;test
20170321_11:42:14;test_ink;gcode/20170321_11:42:14test_ink.gcode;gcode/20170321_11:42:14test_ink.gcode;;test
20170321_11:42:14;test_ink;gcode/20170321_11:42:14test_ink.gcode;gcode/20170321_11:42:14test_ink.gcode;;test
20170321_11:42:15;test_ink;gcode/20170321_11:42:15test_ink.gcode;gcode/20170321_11:42:15test_ink.gcode;;test
20170321_11:42:16;test_ink;gcode/20170321_11:42:16test_ink.gcode;gcode/20170321_11:42:16test_ink.gcode;;test
20170321_11:42:16;test_ink;gcode/20170321_11:42:16test_ink.gcode;gcode/20170321_11:42:16test_ink.gcode;;test
20170321_11:42:16;test_ink;gcode/20170321_11:42:16test_ink.gcode;gcode/20170321_11:42:16test_ink.gcode;;test
20170321_11:42:17;test_ink;gcode/20170321_11:42:17test_ink.gcode;gcode/20170321_11:42:17test_ink.gcode;;test
20170321_11:42:17;test_ink;gcode/20170321_11:42:17test_ink.gcode;gcode/20170321_11:42:17test_ink.gcode;;test
20170321_11:42:17;test_ink;gcode/20170321_11:42:17test_ink.gcode;gcode/20170321_11:42:17test_ink.gcode;;test
20170321_11:42:17;test_ink;gcode/20170321_11:42:17test_ink.gcode;gcode/20170321_11:42:17test_ink.gcode;;test
20170321_11:42:18;test_ink;gcode/20170321_11:42:18test_ink.gcode;gcode/20170321_11:42:18test_ink.gcode;;test
